,grupo,user.id,user_retweeters,Clase
0,0,73102744,178105343,1.0
23213,0,3421061763,713923104989388800,1.0
23386,0,910956876686381058,886733270230216706,1.0
23389,0,367933714,2601817933,1.0
34429,0,2687724840,889693274,1.0
41437,0,378996603,385442766,1.0
41443,0,1190413307183869954,1214218172594708482,1.0
41482,0,3017809004,149762941,1.0
41503,0,1172610671965548545,1210368056020656133,1.0
41515,0,1146448109070966784,850717135378710528,1.0
41687,0,2693592596,1054830382460387328,1.0
41726,0,268488742,1210368056020656133,1.0
41916,0,4160782817,2533109552,1.0
42038,0,992317206,187071064,1.0
42139,0,60939248,447339311,1.0
42181,0,180986917,781849538931879940,1.0
42239,0,206371045,1079433728496156672,1.0
42311,0,837186873143488514,1273666078984503297,1.0
42319,0,770043118435598337,3364886187,1.0
42481,0,164350783,1544696155,1.0
42687,0,1231257889945391104,732304428162764802,1.0
42728,0,1565605044,3002855571,1.0
42858,0,441003091,1130141397431062533,1.0
43010,0,1183974626,1312170816,1.0
43020,0,1136447223628271622,2993588327,1.0
43039,0,1351621913446141953,1248651153337913346,1.0
43180,0,176605247,1312170816,1.0
43474,0,71009257,1730667439,1.0
43564,0,882731195834003457,1210368056020656133,1.0
43605,0,1442236609,1211799899508891648,1.0
43646,0,332305405,2645904638,1.0
43695,0,1345902409692930048,758466578400833536,1.0
43850,0,26952449,3374854499,1.0
44134,0,539465072,1032043587247243265,1.0
44332,0,1014284625592639489,980671335608274944,1.0
44576,0,1212718019849248768,1210368056020656133,1.0
44630,0,732703538074226688,131011940,1.0
44647,0,1249892637085237258,1544696155,1.0
45092,0,202824848,1241413268062773249,1.0
45099,0,1354449413414989835,3082091529,1.0
45246,0,210152430,107442800,1.0
45263,0,867223140,1252583754,1.0
46065,0,179669951,179669951,1.0
46107,0,1163194886352461824,703752380861571072,1.0
46260,0,2381191612,2381191612,1.0
46885,0,146631761,149762941,1.0
47981,0,33524608,539035466,1.0
48634,0,910597284320116738,1143950771559555073,1.0
48972,0,1954572703,974830959949500421,1.0
49663,0,15750760,1218297326709723136,1.0
51097,0,1002260764747616260,1229362173757083650,1.0
51225,1,252168075,1238117630696972289,0.0
94247,1,156054222,2203887181,0.0
94306,1,1337480038627864577,1132084412068368384,0.0
94400,1,918893305664098304,1167510078649487361,0.0
94443,1,960475608873684992,961096319455715328,0.0
94470,1,2407572261,1290798851788623874,0.0
94511,1,1239291711299428353,315864204,0.0
94549,1,737702585277222912,827048251,0.0
94611,1,510740590,590045873,0.0
95001,1,484349869,1210378599238422528,0.0
95172,1,2229279600,4473551177,0.0
95200,1,927377684224708608,2357160421,0.0
95227,1,1308513159171407880,782954889123069952,0.0
95333,1,35961319,299375176,0.0
95466,1,973491850530164736,1250890240006512647,0.0
95652,1,1324927863913656321,526455759,0.0
95687,1,405924380,166156393,0.0
96006,1,1043343131272462336,4924949747,0.0
96148,1,1399456345,33350532,0.0
96189,1,145493922,2321010714,0.0
96516,1,2284297460,613930148,0.0
96823,1,140374618,4220072895,0.0
96875,1,1340629915176226825,367396547,0.0
96963,1,3102885442,315864204,0.0
97033,1,161859001,1190406452,0.0
97067,1,811607948,4220072895,0.0
97140,1,145010134,4740081556,0.0
97359,1,1092059695383281666,385571905,0.0
97557,1,997060027147055104,361962151,1.0
97712,1,141508805,850928077983154176,0.0
97773,1,1030600807094382592,762686650715701248,0.0
97775,1,1272682283259101185,762686650715701248,0.0
97871,1,542672934,721052903151136768,0.0
97910,1,4422267497,967145407,0.0
97922,1,962815988336119810,217467287,0.0
98007,1,202984292,1129083951354658818,0.0
98136,1,4470440536,1252522040,0.0
98467,1,1121417863623917568,1302764985605648384,0.0
98469,1,939907866894401536,1302764985605648384,0.0
98871,1,135959915,147267819,0.0
98882,1,2649013430,1139915673151451136,0.0
98907,1,172417422,1167510078649487361,0.0
99183,1,3108851163,1220026772701569024,0.0
99352,1,886020561989718016,1942435878,0.0
99365,1,1272713534078619648,1271202002249363461,0.0
99582,1,1207261773428068354,203222044,0.0
99728,1,1426566756,2808449722,0.0
100000,1,152398844,396312747,0.0
100005,1,281644571,396312747,0.0
100131,1,811960507829800960,1051796845,0.0
100142,1,2947569093,2296379731,0.0
100194,1,43814969,33350532,0.0
100407,1,183031741,129642510,0.0
100454,1,213751459,1325992493138268160,0.0
100540,1,2468581307,742086594,0.0
100637,1,1180936849,32693346,0.0
100683,1,70596691,2699291461,0.0
100834,1,999002735520468992,1176327725457584130,0.0
100949,1,2585749633,860360141350334464,0.0
101096,1,62979727,1034579540809539584,0.0
101151,1,1111696053416443904,396312747,0.0
101687,1,1290051460810629122,243582534,0.0
101731,1,1342088166,869206764704731136,0.0
101928,1,885711979343687680,849675878061793285,0.0
101976,1,1865275226,967145407,0.0
102222,1,2377961704,151319723,0.0
102306,1,153552401,153152549,0.0
102674,1,1299899337087033345,721052903151136768,0.0
103305,1,1250601378872991745,1071973252774404096,0.0
103466,1,2223272358,1238594246929715200,0.0
103730,1,3107864708,734388470458818561,0.0
104308,2,2846083090,1624241750,1.0
104310,3,312855179,1246062412090019845,1.0
